epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2998.11,0.74916,0.62073,1.062,0.95442,0.91877,0.95664,0.84443,0.55306,0.43766,0.93247,0.00023764,0.00023764,0.00023764
43,3067.76,0.75285,0.61442,1.0612,0.94626,0.92139,0.96179,0.8517,0.55171,0.42868,0.9264,0.00023368,0.00023368,0.00023368
44,3137.33,0.74692,0.60899,1.06117,0.94485,0.91356,0.9582,0.84163,0.55814,0.43206,0.94425,0.00022972,0.00022972,0.00022972
45,3207.72,0.74263,0.60181,1.06228,0.93933,0.93304,0.95732,0.84408,0.54802,0.41808,0.93956,0.00022576,0.00022576,0.00022576
46,3278.12,0.73995,0.59556,1.05644,0.95148,0.92144,0.95908,0.84316,0.56236,0.4234,0.94514,0.0002218,0.0002218,0.0002218
47,3347.65,0.73743,0.58856,1.05498,0.95339,0.93083,0.96095,0.85054,0.54404,0.41209,0.92812,0.00021784,0.00021784,0.00021784
48,3417.55,0.73603,0.58778,1.0548,0.9587,0.9283,0.95592,0.84284,0.5623,0.41131,0.94409,0.00021388,0.00021388,0.00021388
49,3487.98,0.72587,0.57866,1.05057,0.95652,0.93378,0.96011,0.85256,0.53618,0.39139,0.93026,0.00020992,0.00020992,0.00020992
50,3557.38,0.72651,0.58345,1.04976,0.94277,0.93851,0.95921,0.84939,0.54578,0.40964,0.92901,0.00020596,0.00020596,0.00020596
51,3627.16,0.71394,0.56604,1.04212,0.94524,0.93434,0.95707,0.84296,0.55599,0.41379,0.93387,0.000202,0.000202,0.000202
52,3697.09,0.72399,0.57212,1.04904,0.94345,0.93665,0.95682,0.85621,0.53546,0.41303,0.92927,0.00019804,0.00019804,0.00019804
53,3767.66,0.71918,0.56287,1.04461,0.95746,0.92915,0.95813,0.85152,0.53685,0.40521,0.9443,0.00019408,0.00019408,0.00019408
54,3837.95,0.71868,0.56327,1.04459,0.95836,0.93692,0.95753,0.85352,0.53082,0.39915,0.92126,0.00019012,0.00019012,0.00019012
55,3908.1,0.71251,0.55604,1.04431,0.95046,0.93149,0.95996,0.85849,0.52708,0.39313,0.92315,0.00018616,0.00018616,0.00018616
56,3978.7,0.70713,0.54267,1.04053,0.95478,0.92362,0.96034,0.85881,0.53431,0.3967,0.92501,0.0001822,0.0001822,0.0001822
57,4048.43,0.70718,0.54149,1.04154,0.96405,0.93093,0.96297,0.8677,0.52213,0.39073,0.91925,0.00017824,0.00017824,0.00017824
58,4118.07,0.69493,0.53678,1.03269,0.95264,0.93795,0.96191,0.85832,0.53547,0.38713,0.92675,0.00017428,0.00017428,0.00017428
59,4188.73,0.68143,0.53332,1.02992,0.94108,0.93716,0.96144,0.86149,0.52708,0.39387,0.92984,0.00017032,0.00017032,0.00017032
60,4258.55,0.68959,0.53062,1.02914,0.95059,0.93365,0.958,0.85151,0.55328,0.3966,0.94221,0.00016636,0.00016636,0.00016636
61,4328.29,0.6946,0.53007,1.03973,0.9479,0.94049,0.95951,0.86226,0.52353,0.38394,0.92409,0.0001624,0.0001624,0.0001624
62,4398.14,0.68859,0.5271,1.03191,0.94423,0.93175,0.95936,0.85986,0.52304,0.38921,0.92429,0.00015844,0.00015844,0.00015844
63,4468.03,0.68259,0.51604,1.02859,0.96285,0.92814,0.96102,0.8598,0.52774,0.39231,0.92599,0.00015448,0.00015448,0.00015448
64,4537.64,0.67088,0.50615,1.02692,0.95122,0.93587,0.96244,0.85726,0.5293,0.38696,0.91837,0.00015052,0.00015052,0.00015052
65,4607.84,0.67097,0.50574,1.02094,0.9525,0.93456,0.96137,0.86095,0.51148,0.38305,0.91216,0.00014656,0.00014656,0.00014656
66,4678.28,0.67444,0.50896,1.02279,0.95379,0.94185,0.96323,0.86228,0.51991,0.38053,0.91979,0.0001426,0.0001426,0.0001426
67,4747.74,0.66162,0.49664,1.01593,0.95422,0.93878,0.96296,0.86344,0.52096,0.37935,0.92063,0.00013864,0.00013864,0.00013864
68,4817.83,0.66666,0.49767,1.01975,0.96269,0.92502,0.96079,0.85768,0.53039,0.39159,0.92237,0.00013468,0.00013468,0.00013468
69,4887.34,0.66935,0.49749,1.01975,0.95592,0.93365,0.95976,0.85784,0.52626,0.3922,0.92294,0.00013072,0.00013072,0.00013072
70,4957.12,0.65465,0.48815,1.01893,0.94912,0.94053,0.96203,0.86405,0.51651,0.37072,0.91458,0.00012676,0.00012676,0.00012676
71,5026.53,0.66754,0.48801,1.02119,0.96029,0.94064,0.96426,0.86906,0.50965,0.36128,0.91534,0.0001228,0.0001228,0.0001228
72,5096.05,0.64995,0.48292,1.01426,0.95584,0.94144,0.96323,0.86872,0.50806,0.36367,0.91669,0.00011884,0.00011884,0.00011884
73,5165.14,0.64878,0.48229,1.0145,0.95488,0.93877,0.96283,0.86029,0.53016,0.37668,0.92355,0.00011488,0.00011488,0.00011488
74,5234.58,0.64959,0.47936,1.0122,0.95732,0.94143,0.96309,0.86624,0.52422,0.38159,0.92509,0.00011092,0.00011092,0.00011092
75,5303.49,0.64708,0.47802,1.00912,0.96027,0.94077,0.96536,0.86756,0.52317,0.36546,0.9213,0.00010696,0.00010696,0.00010696
76,5372.93,0.64851,0.48145,1.01363,0.96182,0.94035,0.96697,0.87154,0.52051,0.35925,0.92028,0.000103,0.000103,0.000103
77,5442.61,0.63488,0.45995,1.00386,0.95697,0.93572,0.96511,0.86757,0.51935,0.36076,0.91892,9.904e-05,9.904e-05,9.904e-05
78,5512.39,0.64169,0.46802,1.00838,0.95688,0.93915,0.96366,0.86979,0.51303,0.36248,0.91758,9.508e-05,9.508e-05,9.508e-05
79,5582.29,0.62153,0.45378,0.99991,0.95917,0.93972,0.96395,0.86568,0.51954,0.36578,0.92568,9.112e-05,9.112e-05,9.112e-05
